지역구분,지역구분_시,지역구분_도심/도심외,지역구분_읍/면/동,관광업종 구분,회원 유형,회원 성별,회원 연령대,회원 거주지,2014-09~2015-08 카드이용금액,2014-09 ~ 2015-08 카드이용건수,2014-09~2015-08 카드이용자수,2015-09~2016-08 카드이용금액,2015-09~2016-08 카드이용건수,2015-09~2016-08 카드이용자수,데이터기준일자
제주도,전체,전체,전체,교통,내국인,남,20대 미만,제주,19650725,479,68,29843198,851,197,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,20대,제주,2089069468,56192,6528,2711132135,73278,7948,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,30대,제주,10164021228,205373,15016,10459317336,220460,15330,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,40대,제주,22623678695,367138,20886,20797744658,368599,21333,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,50대,제주,24392770471,361576,19359,20730544586,358093,19643,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,60대이상,제주,22018382136,352709,21623,16926229323,337724,21569,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대 미만,제주,18039101,497,54,30563864,689,131,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대,제주,1568542281,39712,6296,1927303292,50231,7282,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,30대,제주,6042787370,128466,12466,6060967515,136498,12826,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,40대,제주,11526386329,211708,16396,10782346813,211874,16750,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,50대,제주,10384898579,177204,13663,9358997878,172380,13680,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,60대이상,제주,5802590690,91422,8422,4714230070,86622,9699,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대 미만,제주,33903501,2228,576,87786485,5563,1199,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대,제주,793728187,41766,8878,983411498,49253,10080,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,30대,제주,1606244440,50400,11196,2078125525,60988,11886,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,40대,제주,5273957259,103492,15180,6013983979,116048,15949,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,50대,제주,5450306902,83370,11438,5830921897,84372,11694,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,60대이상,제주,2573193047,40211,5732,2557653900,39265,5725,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대 미만,제주,44936390,3473,739,102420375,7805,1407,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대,제주,1110590116,66814,11577,1332891993,74972,12345,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,30대,제주,1853467888,62620,12463,2362233275,77091,13403,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,40대,제주,3480612494,96250,15541,4026233804,110233,16263,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,50대,제주,1985352375,41018,8697,2064959571,42981,8922,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,60대이상,제주,529479532,10870,2875,529495959,11459,2983,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,20대 미만,제주,65385670,2017,525,161988999,3860,999,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,20대,제주,3544988444,68349,10189,4195905865,81708,11542,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,30대,제주,9215755125,138461,16011,9874341516,151170,16224,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,40대,제주,17451853731,222188,20634,18533532927,233081,21293,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,50대,제주,17976767813,187899,17327,18209701150,189112,17400,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,60대이상,제주,13001648617,111680,11960,12589967493,112247,11949,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,20대 미만,제주,108536060,5318,785,256570490,11959,1448,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,20대,제주,6285545984,179413,14047,7110800832,198033,14929,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,30대,제주,12353793775,212831,17015,12837148489,217399,17520,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,40대,제주,21043631402,288744,20553,22222080914,299440,21124,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,50대,제주,22399242109,221149,16479,22138171687,221433,16596,2017-02-16
제주도,전체,전체,전체,소매,내국인,여,60대이상,제주,11913497624,112306,9185,11739104039,112990,9232,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,20대 미만,제주,124718332,22527,926,321156310,62659,1798,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,20대,제주,7215994869,837792,14840,10466697758,1141838,17319,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,30대,제주,22204914709,1354567,20783,27302693113,1696512,21198,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,40대,제주,38335812226,1594808,25715,43869790668,1955344,26523,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,50대,제주,31104310637,1074737,21088,33631164068,1246238,21496,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,남,60대이상,제주,20886022269,571735,15645,20963891914,614729,15300,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,20대 미만,제주,135184518,19920,976,313603396,51675,1772,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,20대,제주,8462211054,734686,16246,11502203798,945804,17426,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,30대,제주,22912549326,992148,20026,26761031792,1175467,20640,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,40대,제주,38819980576,1313687,23856,42785511472,1522556,24511,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,50대,제주,30176373126,864710,18779,32132458639,954594,19103,2017-02-16
제주도,전체,전체,전체,쇼핑,내국인,여,60대이상,제주,14777395480,388642,10628,15274835531,413923,10631,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,20대 미만,제주,2276750,47,28,9969900,200,101,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,20대,제주,554996437,12267,3417,784384755,16394,4216,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,30대,제주,1561765358,20516,6091,1715463758,21379,6440,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,40대,제주,2643102536,22227,6932,2712950908,25870,7645,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,50대,제주,2345230368,13949,4616,2999142784,16062,4940,2017-02-16
제주도,전체,전체,전체,숙박,내국인,남,60대이상,제주,2336685040,8902,2409,2331657794,9409,2576,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,20대 미만,제주,1072900,22,16,6525380,144,67,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,20대,제주,423132148,8781,3104,537393043,10737,3612,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,30대,제주,1010133283,9873,4215,996077210,11264,4561,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,40대,제주,1373280887,10837,4275,1622723215,12716,4820,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,50대,제주,1163317985,6653,2677,1525710311,7951,3002,2017-02-16
제주도,전체,전체,전체,숙박,내국인,여,60대이상,제주,802386170,4159,1384,948514571,4509,1464,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,20대 미만,제주,149879173,9312,844,430672345,27787,1653,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,20대,제주,10147909483,475009,13958,13412390541,619768,15977,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,30대,제주,25635488868,915180,20155,29216402407,1044277,20503,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,40대,제주,41822338082,1175761,25223,46678982016,1332289,25885,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,50대,제주,34107818398,867149,20662,37150796017,956366,20992,2017-02-16
제주도,전체,전체,전체,식음료,내국인,남,60대이상,제주,17110721893,391819,14259,17851382477,421592,14228,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대 미만,제주,179066370,13738,963,431042859,34369,1736,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,20대,제주,11102084815,655616,16097,13874755208,798643,17186,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,30대,제주,16873609498,782385,19548,19526189814,890447,20132,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,40대,제주,23242897232,886321,22987,26813933902,1031751,23833,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,50대,제주,15007474022,478899,17532,16467942257,534439,17944,2017-02-16
제주도,전체,전체,전체,식음료,내국인,여,60대이상,제주,5815627545,160307,9132,6309168466,178060,9313,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,20대 미만,제주,16443000,274,125,59157890,840,303,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,20대,제주,2649470631,50908,8402,3197857156,55724,9279,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,30대,제주,9792944789,96065,13187,10426367305,91459,12752,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,40대,제주,18701477580,136042,16190,19800461120,135012,16167,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,50대,제주,11916592573,98805,12226,12473389023,98305,11889,2017-02-16
제주도,전체,전체,전체,유흥,내국인,남,60대이상,제주,3217276909,27836,4919,3115325511,26247,4609,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,20대 미만,제주,14673600,253,117,34553870,603,253,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,20대,제주,1410862601,38089,8457,1464714198,37142,8702,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,30대,제주,1568340003,29614,8067,1562953183,26112,7497,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,40대,제주,2403417513,33285,9070,2310985149,31672,8762,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,50대,제주,1355243261,18661,5675,1461876299,18167,5401,2017-02-16
제주도,전체,전체,전체,유흥,내국인,여,60대이상,제주,643039588,6022,1702,611957116,5532,1550,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,20대 미만,한국(제주제외),4996012,107,55,20680973,262,147,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,20대,한국(제주제외),3471476430,66964,36771,5440342564,103386,55362,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,30대,한국(제주제외),12222560526,199950,104945,14288412960,243842,122962,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,40대,한국(제주제외),12615797032,173859,86161,14654711931,213953,101023,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,50대,한국(제주제외),9426160316,121729,58681,10582888267,150333,67982,2017-02-16
제주도,전체,전체,전체,교통,내국인,남,60대이상,한국(제주제외),4433518940,56205,25672,4508363246,65288,27845,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대 미만,한국(제주제외),10555451,130,75,16091393,335,178,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,20대,한국(제주제외),4765244169,81586,49117,7103684934,117846,70379,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,30대,한국(제주제외),9363741719,142973,80677,10308275324,162124,90407,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,40대,한국(제주제외),6549977664,83629,44949,7336230423,103461,54653,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,50대,한국(제주제외),4291734318,55665,30041,4716138198,67762,35942,2017-02-16
제주도,전체,전체,전체,교통,내국인,여,60대이상,한국(제주제외),1807891492,22531,10918,1789050029,26169,12130,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대 미만,한국(제주제외),10690094,603,434,23566755,1423,941,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,20대,한국(제주제외),902604530,39083,22682,1114214069,47292,26614,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,30대,한국(제주제외),3025975380,91125,50286,3303210383,99652,53045,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,40대,한국(제주제외),5303141992,97899,46574,6214470380,110505,53278,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,50대,한국(제주제외),6128207231,63692,31263,6826479754,71826,35052,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,남,60대이상,한국(제주제외),4563351428,36549,15786,4782509195,38968,16796,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대 미만,한국(제주제외),11560088,747,549,24098560,1527,1011,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,20대,한국(제주제외),1246436479,59771,36489,1431799528,66705,39381,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,30대,한국(제주제외),2638267585,87484,50190,2782652935,93811,51944,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,40대,한국(제주제외),2778286265,63430,32258,3180251463,74101,37525,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,50대,한국(제주제외),2116261774,33211,18633,2339971158,39174,22080,2017-02-16
제주도,전체,전체,전체,문화/레져,내국인,여,60대이상,한국(제주제외),1185593987,14795,8056,1311448321,16914,9141,2017-02-16
제주도,전체,전체,전체,소매,내국인,남,20대 미만,한국(제주제외),42829850,2601,1654,103313530,6374,3980,2017-02-16
