국적,상품유형,체류기간,방문빈도,방문도시,업종별 소비금액 상위 1위,업종별 소비금액 상위 2위,업종별 소비금액 상위 3위,인당 소비 금액 (만원),데이터기준일자
한국,단체,단기,구분없음,구분없음,쇼핑,소매,식음료,11,2017-02-16
한국,단체,장기,구분없음,구분없음,쇼핑,식음료,소매,20,2017-02-16
한국,개별,단기,구분없음,구분없음,교통,숙박,식음료,17,2017-02-16
한국,개별,장기,구분없음,구분없음,식음료,쇼핑,교통,45,2017-02-16
중국,단체,단기,최초방문,단독,쇼핑,소매,식음료,42,2017-02-16
중국,단체,단기,최초방문,교차,쇼핑,소매,문화/레져,38,2017-02-16
중국,단체,단기,재방문,단독,쇼핑,소매,식음료,49,2017-02-16
중국,단체,단기,재방문,교차,쇼핑,소매,식음료,68,2017-02-16
중국,단체,장기,최초방문,단독,쇼핑,소매,식음료,86,2017-02-16
중국,단체,장기,최초방문,교차,쇼핑,소매,식음료,89,2017-02-16
중국,단체,장기,재방문,단독,쇼핑,소매,식음료,113,2017-02-16
중국,단체,장기,재방문,교차,쇼핑,소매,식음료,165,2017-02-16
중국,개별,단기,최초방문,단독,숙박,쇼핑,소매,46,2017-02-16
중국,개별,단기,최초방문,교차,쇼핑,소매,숙박,31,2017-02-16
중국,개별,단기,재방문,단독,숙박,쇼핑,소매,71,2017-02-16
중국,개별,단기,재방문,교차,쇼핑,숙박,소매,67,2017-02-16
중국,개별,장기,최초방문,단독,쇼핑,숙박,소매,107,2017-02-16
중국,개별,장기,최초방문,교차,쇼핑,소매,숙박,99,2017-02-16
중국,개별,장기,재방문,단독,쇼핑,숙박,소매,147,2017-02-16
중국,개별,장기,재방문,교차,쇼핑,소매,숙박,145,2017-02-16
